物料代码	含税售价(13%)	不含税售价	部件不含税售价	年份
KA173N42800	810	716.81	523.89 	2019
KA173N90700	219	193.81	184.96 	2019
KA173W41400	1506	1332.74	561.95 	2019
KA173W42800	1800	1592.92	717.70 	2019
KA237W40416	947	838.05	365.49 	2019
KA240W46200	828	732.74	313.27 	2019
KA240W47002	920	814.16	323.89 	2019
KA275N40400	434	384.07	298.23 	2019
KA275W43200	1049	928.32	407.08 	2019
KA299N47200	463	409.73	318.58 	2019
KA299W47200	1049	928.32	407.08 	2019
KA354N40600	505	446.9	361.06 	2019
KA354N40700	456	403.54	316.81 	2019
KA354N40800	505	446.9	361.95 	2019
KA354W40700	935	827.43	338.94 	2019
KB173N41000	667	590.27	416.81 	2019
KB173N41200	817	723.01	492.92 	2019
KB173W41000	1579	1397.35	724.78 	2019
KB173W41200	1961	1735.4	930.09 	2019
KB489N40800	522	461.95	330.97 	2019
KB489W40811	1184	1047.79	551.33 	2019
KG157W00900	1481	1310.62	527.43 	2019
KG167N00200	1803	1595.58	0.00 	2019
KG167N00400	1895	1676.99	0.00 	2019
KG167W00200	1412	1249.56	0.00 	2019
KG167W00400	1723	1524.78	0.00 	2019
KH155W00100	1578	1396.46	0.00 	2019
KH167N00100	1755	1553.1	0.00 	2019
KH167W00101	1984	1755.75	0.00 	2019
KH175W00300	1725	1526.55	0.00 	2019
KH175W00400	2059	1822.12	0.00 	2019
KH177N00100	1843	1630.97	0.00 	2019
KH178W00103	1989	1760.18	0.00 	2019
KH178W00400	2060	1823.01	0.00 	2019
KH182N00500	2001	1770.8	0.00 	2019
KH182N01700	2000	1769.91	0.00 	2019
KH186N00200	2031	1797.35	0.00 	2019
KH212N00100	1888	1670.8	0.00 	2019
KH212N00200	1886	1669.03	0.00 	2019
LR02001541	1292	1143.36	0.00 	2019
LR02001710	1210	1070.8	0.00 	2019
LR02001810	1528	1352.21	0.00 	2019
LR02001860	1131	1000.88	0.00 	2019
LR02001870	1155	1022.12	0.00 	2019
LR02001950	1203	1064.6	0.00 	2019
LR02001960	1203	1064.6	0.00 	2019
LR02001970	1225	1084.07	0.00 	2019
LR02001980	1225	1084.07	0.00 	2019
LR02002110	1305	1154.87	0.00 	2019
LR20002780	1252	1107.96	0.00 	2019
LR20002790	1405	1243.36	0.00 	2019
LR20002810	1843	1630.97	0.00 	2019
LR20002890	1812	1603.54	0.00 	2019
LR20002970	1730	1530.97	0.00 	2019
LR20002980	1646	1456.64	0.00 	2019
LR20003020	1267	1121.24	0.00 	2019
LR20003030	1113	984.96	0.00 	2019
LR20003040	1607	1422.12	0.00 	2019
KA173N42700	718	635.4	439.82 	2019
KA299N44000	463	409.73	322.12 	2019
KA299N43100	424	375.22	282.30 	2019
KH147W04303	1593	1409.73	0.00 	2019
KH167N00300	1756	1553.98	0.00 	2019
KH186N00100	2031	1797.35	0.00 	2019
LR02001820	1555	1376.11	0.00 	2019
KA198W40401	989	875.22	372.57 	2019
KA237W40109	780	690.27	294.69 	2019
KA237W40211	910	805.31	357.52 	2019
KA237W40301	828	732.74	307.08 	2019
KA240N00100	380	336.28	244.25 	2019
KA240N00200	432	382.3	290.27 	2019
KA240N00300	382	338.05	246.02 	2019
KA240N00400	433	383.19	299.12 	2019
KA240N00600	464	410.62	306.19 	2019
KA240N00700	418	369.91	270.80 	2019
KA240N00800	469	415.04	324.78 	2019
KA240W00104	846	748.67	307.08 	2019
KA240W00212	965	853.98	374.34 	2019
KA240W00310	908	803.54	317.70 	2019
KA240W00411	1008	892.04	386.73 	2019
KA240W00600	1070	946.9	392.04 	2019
KA240W00700	1000	884.96	338.94 	2019
KA240W00809	1119	990.27	414.16 	2019
KA240W46000	909	804.42	362.83 	2019
KA240W46401	932	824.78	363.72 	2019
KA240W46402	969	857.52	364.60 	2019
KA275N20900	382	338.05	246.90 	2019
KA275N21100	383	338.94	247.79 	2019
KA275N21200	436	385.84	292.92 	2019
KA275N21400	471	416.81	315.93 	2019
KA275N21500	418	369.91	270.80 	2019
KA275N21600	472	417.7	325.66 	2019
KA275N40100	382	338.05	250.44 	2019
KA275N40200	434	384.07	298.23 	2019
KA275N40300	382	338.05	250.44 	2019
KA275W20901	845	747.79	307.08 	2019
KA275W21100	908	803.54	317.70 	2019
KA275W21200	1009	892.92	377.88 	2019
KA275W21400	1075	951.33	392.92 	2019
KA275W21500	1000	884.96	339.82 	2019
KA275W21600	1117	988.5	408.85 	2019
KA275W42500	842	745.13	304.42 	2019
KA299N47100	414	366.37	284.07 	2019
KA299W46900	964	853.1	331.86 	2019
KA299W47000	1049	928.32	396.46 	2019
KA328N40200	437	386.73	316.81 	2019
KA328N40400	438	387.61	316.81 	2019
KA328N40600	523	462.83	359.29 	2019
KA328W40600	1024	906.19	384.07 	2019
KA346N40300	370	327.43	268.14 	2019
KA346N41900	383	338.94	264.60 	2019
KA346N42000	433	383.19	307.08 	2019
KA346W43200	1049	928.32	396.46 	2019
KA352N41600	446	394.69	310.62 	2019
KA352N42000	481	425.66	328.32 	2019
KA352W41600	947	838.05	365.49 	2019
KA352W42000	1079	954.87	397.35 	2019
KA354N40200	478	423.01	341.59 	2019
KA354N40300	431	381.42	300.88 	2019
KA354N40400	478	423.01	342.48 	2019
KA354W40200	906	801.77	353.98 	2019
KA354W40300	789	698.23	297.35 	2019
KA354W40401	966	854.87	355.75 	2019
KA354W40800	1024	906.19	383.19 	2019
KA355N40400	424	375.22	305.31 	2019
KA442N46400	460	407.08	316.81 	2019
KB155W21200	1170	1035.4	561.95 	2019
KB277W20806	1208	1069.03	590.27 	2019
KB283N04804	673	595.58	422.12 	2019
KB283N91100	383	338.94	323.01 	2019
KB283W04801	1287	1138.94	615.93 	2019
KB299N24800	552	488.5	329.20 	2019
KB299W41414	1122	992.92	539.82 	2019
KB299W41614	1185	1048.67	553.10 	2019
KB324N41200	590	522.12	387.61 	2019
KB324N41600	590	522.12	386.73 	2019
KB328N40400	501	443.36	320.35 	2019
KB328N40800	501	443.36	318.58 	2019
KB328W40400	1127	997.35	563.72 	2019
KB328W40800	1102	975.22	556.64 	2019
KB333W40400	1088	962.83	556.64 	2019
KB333W40800	1142	1010.62	565.49 	2019
